Biblioteca;T&iacute;tulo;G&ecirc;nero;Ano;
;Aion;MMORPG;2009;
Steam;Amnesia: A Machine for Pigs;Horror;2013;
Steam;Amnesia: The Dark Decent;Horror;2010;
Uplay;Assassins Creed III;Stealth;2012;
Uplay;Assassins Creed IV: Black Flag;Stealth;2013;
Steam;Bayonetta;Hack and Slash;2009;
Uplay;Beyond Good and Evil;Aventura;2003;
;Blade and Soul;a-MMORPG;2016;
Steam;BlazBlue: Calamity Trigger;Luta;2010;
Steam;BlazBlue: Continuum Shift Extend;Luta;2014;
Steam;Brütal Legend;A&ccedil;&atilde;o;2009;
Steam;Cities: Skylines;Simula&ccedil;&atilde;o;2015;
Steam;Closers;a-RPG;2018;
Steam;Company of Heroes 2;RTS;2013;
Steam;Darksiders Deathinitive Edition;Hack and Slash;2015;
Steam;Darksiders Warmastered Edition;Hack and Slash;2016;
;Dauntless;a-RPG;2018;
Origin;Dead Space;Horror;2008;
Steam;Deafiance;TPS / MMORPG;2013;
Blizzard;Diablo;a-RPG;1998;
Blizzard;Diablo II;a-RPG;2000;
Blizzard;Diablo II - Lord of Destruction;a-RPG;2001;
Blizzard;Diablo III;a-RPG;2012;
Blizzard;Diablo III - Reaper of Souls;a-RPG;2014;
Steam;Doom (2016);FPS;2016;
Origin;Dragon Age II;a-RPG;2011;
Origin;Dragon Age Inquisition: Game of the Year;a-RPG;2014;
Origin;Dragon Age: Origins;RPG;2009;
Steam;Dungeon Siege;a-RPG;2002;
Steam;Dungeon Siege 2;a-RPG;2005;
Steam;Dungeon Siege 3;a-RPG;2011;
Steam;Dungeons and Dragons Online;MMORPG;2006;
CCP;Eve Online;Simula&ccedil;&atilde;o / MMORPG;2003;
Steam;Eve Online;Simula&ccedil;&atilde;o / MMORPG;2003;
Steam;F.E.A.R.;FPS / Horror;2005;
Steam;F.E.A.R. 2: Project Origin;FPS / Horror;2009;
Steam;F.E.A.R. 3;FPS / Horror;2011;
Steam;F.E.A.R.: Extraction Point;FPS;2006;
Steam;F.E.A.R.: Perseus Mandate;FPS;2007;
Steam;Fallout;RPG;1997;
Steam;Fallout 2;RPG;1998;
Steam;Fallout 3 - Game of the Year Edition;a-RPG;2008;
Steam;Fallout 4;a-RPG;2015;
Steam;Fallout Shelter;Simula&ccedil;&atilde;o;2015;
Steam;Fallout Tactics: Brotherhood of Steel;t-RPG;2001;
Steam;Fallout: New Vegas;a-RPG;2010;
Uplay;Far Cry 3: Blood Draon;FPS;2013;
Steam;Final Fantasy XIII;RPG;2010;
Steam;Final Fantasy XIII-2;RPG;2012;
Steam / Uplay;For Hornor;Hack and Slash;2017;
;Guild Wars 2;MMORPG;2012;
;Guild Wars 2: Heart of Thorns;MMORPG;2015;
;Guild Wars 2: Path of Fire;MMORPG;2017;
;Guild Wars: Eye of the North;a-MMORPG;2010;
;Guild Wars: Factions;a-MMORPG;2006;
;Guild Wars: Nightfall;a-MMORPG;2006;
